Nome;cluster;pc1;pc2
Terra Helmet;2;-0.26284564;0.39436778
Terra Hood;3;-0.4212502;-0.07575177
The Crown of the Percht Queen (Fire);2;-0.105428495;0.110577635
The Crown of the Percht Queen (Ice);5;0.052024864;0.081105545
The Epic Wisdom;0;-0.11751088;0.058929924
Tiara of Power;2;-0.3357562;0.025936944
Traditional Gamsbart Hat;5;0.116132185;0.06312101
Tribal Mask;3;-0.32559204;-0.12787907
Viking Helmet;3;-0.24877281;-0.016168958
Visage of the End Days;5;0.06353838;0.22176313
Warrior Helmet;3;-0.46601364;0.08236962
Werewolf Helmet;5;-0.08196966;0.11035422
Winged Helmet;5;-0.061019693;0.063197404
Witch Hat;3;-0.40378734;-0.17822893
Wood Cape;3;-0.38328615;0.008764778
Yalahari Mask;3;-0.4203;-0.11378871
Zaoan Helmet;3;-0.40461662;-0.08765931
Bronze Prison Key;0;0.12494054;0.2781886
Chayenne's Magical Key;0;-0.11138124;-0.0515849
Cheesy Key;0;0.08287283;0.25070488
Copper Prison Key;0;0.11124381;0.25354442
Eye Key;0;0.13843095;0.094341844
Forged Glowing Key;1;0.13623317;0.1246495
Forged Key;0;0.04780446;0.3002435
Goblin Bone Key;0;0.06401344;0.1198556
Golden Prison Key;0;0.096367076;0.22664891
Intricate Cage Key;0;0.09207413;0.15702379
Key (Prison Cells);0;0.06251364;0.15369438
Key 0000;0;-0.054387134;0.17348044
Key 0004;0;0.050455965;0.12372022
Key 0005;0;0.043693636;0.1234706
Key 0006;0;-0.05853929;0.2370585
Key 0020;0;-0.010523271;0.18679075
Key 0021;0;0.115912005;0.12243944
Key 0303;0;0.085186526;0.34673744
Key 0909;0;0.020522082;0.3128219
Key 3001;0;0.070838705;0.23723462
Key 3002;0;0.08968034;0.23790082
Key 3003;0;0.079963505;0.23323137
Key 3004;0;0.08175491;0.23407961
Key 3005;0;0.094180666;0.23675166
Key 3006;0;0.09084402;0.24291664
Key 3007;0;0.08259824;0.23910226
Key 3008;0;0.08712232;0.23966596
Key 3012;0;0.038797446;0.22250994
Key 3033;0;-0.04537952;0.10836882
Key 3100;0;0.13847132;0.2920551
Key 3142;0;0.19141705;0.3090903
Key 3200;0;0.063168734;0.26242143
Key 3301;0;0.0070945364;0.25245643
Key 3302;0;-0.023395216;0.2608981
Key 3303;0;-0.027482048;0.2592954
Key 3304;0;-0.12619501;0.2844601
Key 3350;0;-0.028093917;0.25654638
Key 3520;0;0.10668941;0.2423438
Key 3600;0;0.031222058;0.1692593
Key 3610;0;0.0039520073;0.18004204
Key 3620;0;0.18461704;0.28016126
Key 3650;0;0.3373844;0.15490206
Key 3666;0;0.086143486;0.1567838
Key 3667;0;-0.13897645;0.15149507
Key 3700;0;0.15307133;0.27559045
Key 3701;0;0.033926405;0.16965096
Key 3702;0;0.041190643;0.22273888
Key 3703;0;-0.13303132;0.098515496
Key 3800;0;-0.01689386;0.2526377
Key 3801;0;0.07029652;0.3036467
Key 3802;0;0.09072217;0.29293966
Key 3899;0;0.07781548;0.13009572
Key 3900;0;0.09904463;0.33213794
Key 3909;0;0.07692425;0.33789444
Key 3910;0;0.074609876;0.32759246
Key 3911;0;0.07266718;0.32630607
Key 3912;0;0.06568972;0.32318744
Key 3913;0;0.06303766;0.32903862
Key 3914;0;0.0641909;0.32926682
Key 3915;0;0.06829599;0.32945502
Key 3916;0;0.07189586;0.32955375
Key 3917;0;0.06503464;0.33008766
Key 3923;0;0.1696651;0.31969044
Key 3925;0;0.08817267;0.33234292
Key 3930;0;-0.03212365;0.34096757
Key 3932;0;-0.052035753;0.37253287
Key 3934;0;-0.06036892;0.37466186
Key 3935;0;-0.054747153;0.3706015
Key 3936;0;-0.054563295;0.37573627
Key 3937;0;-0.050624754;0.3773443
Key 3938;0;-0.049905717;0.3760987
Key 3940;0;0.15215524;0.3445024
Key 3950;0;0.25623968;0.3692399
Key 3988;0;0.08447829;0.3403239
Key 4001;0;-0.14203405;0.101588786
Key 4009;0;0.15221365;0.034995377
Key 4022;0;0.18124889;0.22283864
Key 4023;0;0.05124925;0.08032964
Key 4033;0;0.039178867;-0.0065531135
Key 4037;0;0.11676986;0.21360794
Key 4055;0;-0.03720956;0.081811264
Key 4210;0;-0.01186674;0.31969604
Key 4501;0;0.07941601;0.34343
Key 4502;0;0.08679929;0.3398341
Key 4503;0;0.19293897;0.33581692
Key 4600;0;0.06470252;0.25860187
Key 4601;0;0.13245755;0.16818492
Key 4603;0;0.099016026;0.27811092
Key 5000;0;0.03111241;0.018320028
Key 5002;0;0.042965937;0.15692887
Key 5010;0;0.035606217;0.22015311
Key 5050;0;0.08894551;0.30801326
Key 6010;0;0.08174301;0.24843927
Key to Knowledge;0;-0.0046571614;0.1473465
Key to the Drowned Library;0;0.050505605;0.04273614
Lotus Key;0;0.11522552;0.069798
Magical Cage Key;0;-0.035150994;0.117761336
Old Silver Key;0;0.15667287;0.27041703
Omrabas' Bone Key;0;0.13107587;0.22987926
Omrabas' Copper Key;0;0.15746503;0.30638093
Prison Cell Key;0;0.09419004;0.27815324
Silver Prison Key;0;0.11403651;0.25906938
Strangely Ornamented Key;0;0.15048328;0.19451569
Theodore Loveless' Key;0;-0.01551257;0.1592511
Wooden Cage Key;0;0.10184068;0.24258006
Abyss Hammer;3;-0.43573093;-0.029756183
Amber Bludgeon;2;-0.25493217;0.331886
Amber Cudgel;2;-0.2715235;0.34805667
Amber Staff;3;-0.28795627;-0.045765005
Arcane Staff;3;-0.39204365;-0.012854943
Banana Staff;5;0.12297161;0.22403869
Battle Hammer;3;-0.40600213;-0.083851926
Blessed Sceptre;0;-0.022128794;0.1723563
Bone Club;3;-0.3429317;-0.1969241
Bonebreaker;3;-0.4081141;0.026163451
Brutetamer's Staff;2;-0.26356092;0.26288077
Chaos Mace;3;-0.23784012;0.030373372
Clerical Mace;3;-0.34699863;-0.2085789
Club;5;0.15560454;0.28807238
Club of the Fury;5;-0.07165766;0.2704368
Cobra Club;2;-0.19961177;0.21285146
Cranial Basher;5;0.061471347;-0.037141684
Crowbar;3;-0.26969168;0.15424678
Crude Umbral Hammer;2;-0.15698269;0.39300662
Crude Umbral Mace;2;-0.23102342;0.36495167
Crystal Mace;3;-0.2314913;-0.076693386
Daramian Mace;3;-0.13288802;-0.06735453
Dark Trinity Mace;1;-0.113868624;0.1354849
Deepling Squelcher;2;-0.320316;0.28277287
Deepling Staff;3;-0.110431194;0.07033202
Demonbone;5;-0.090850815;0.16838273
Diamond Sceptre;3;-0.32010773;-0.084736526
Dragon Hammer;3;-0.28248993;0.017324435
Dragonbone Staff;3;-0.40792537;-0.10386351
Draining Inferniarch Flail;2;-0.23822239;0.42931423
Draining Inferniarch Warhammer;2;-0.17518835;0.44194835
Eldritch Warmace;2;-0.28540805;0.39152148
Energized Demonbone;5;-0.0050672046;0.08731611
Falcon Mace;2;-0.2795121;0.3257347
Ferumbras' Staff (Club);5;-0.0020527842;0.23500945
Furry Club;3;-0.26175624;-0.078330226
Giant Smithhammer;5;-0.018861609;0.2155799
Gilded Eldritch Warmace;2;-0.29476902;0.39012718
Glooth Club;3;-0.2528491;0.08761507
Glooth Whip;5;0.03738057;0.08875337
Glutton's Mace;5;0.10009229;0.046112306
Grand Sanguine Bludgeon;2;-0.1391248;0.41219512
Grand Sanguine Cudgel;2;-0.20362194;0.42453548
Hammer of Destruction;2;-0.21616475;0.34326243
Hammer of Prophecy;2;-0.2059189;0.24706337
Hammer of Wrath;3;-0.2601075;0.11769629
Heavy Mace;2;-0.34293228;0.25474843
Inferniarch Flail;2;-0.26297587;0.38709614
Inferniarch Warhammer;2;-0.18934551;0.41371828
Iron Hammer;5;0.11154826;0.25188234
Jade Hammer;2;-0.18968087;0.17178787
Jungle Flail;2;-0.2657072;0.10928995
Lich Staff;5;0.15946102;0.18925354
Life Preserver;2;-0.32397786;0.12186114
Light Mace;1;0.15778354;0.080434896
Lion Hammer;2;-0.32488889;0.3456591
Lunar Staff;2;-0.13759854;0.08601456
Mace;3;-0.2937802;-0.17279802
Mace of Destruction;2;-0.24790312;0.29419082
Maimer;3;-0.23403667;0.069121026
Mallet Handle;5;0.16726038;0.25482136
Mammoth Whopper;3;-0.30177662;0.029389368
Metal Bat;5;0.07471308;0.19743644
Moohtant Cudgel;5;0.058293775;0.21900715
Morning Star;3;-0.41338298;-0.21706985
Mortal Mace;2;-0.27776697;0.23677568
Mycological Mace;2;-0.2522943;0.27841336
Naga Club;2;-0.13758218;0.4583435
Northern Star;1;0.09158074;0.18203557
Obsidian Truncheon;2;-0.14427388;0.11420582
Ogre Klubba;5;0.045370996;0.26584628
One Hit Wonder;5;0.11327839;0.23916647
Onyx Flail;3;-0.26761982;-0.064498164
Orcish Maul;5;0.040433157;0.22880025
Ornate Mace;3;-0.15768377;-0.023337072
Queen's Sceptre;2;-0.13750304;0.14121452
Rending Inferniarch Flail;2;-0.2554426;0.4414137
Rending Inferniarch Warhammer;2;-0.18663989;0.45150656
Resizer;2;-0.1253082;0.38972875
Rotten Demonbone;3;-0.14828503;0.02421304
Sanguine Bludgeon;2;-0.15989788;0.44432762
Sanguine Cudgel;2;-0.21147457;0.45823
Sapphire Hammer;3;-0.28478476;-0.11334195
Scythe;3;-0.18082651;0.02208034
Shadow Sceptre;3;-0.19300453;-0.05838859
Silver Mace;0;0.1614573;0.1886455
Siphoning Inferniarch Flail;2;-0.26612952;0.40598556
Siphoning Inferniarch Warhammer;2;-0.19704917;0.42419425
Skull Staff;3;-0.3769689;0.00068470504
Skullcrusher;2;-0.27055132;0.20617428
Snake God's Sceptre;3;-0.34315437;-0.1807297
Soulcrusher;2;-0.16713129;0.393082
Soulmaimer;2;-0.19761756;0.40868163
Spiked Squelcher;3;-0.37612522;0.0890197
Spiky Club;2;-0.14906809;0.3329839
Stale Bread of Ancientness;5;0.028770177;0.030148264
Strange Mallet;5;0.08339472;0.18242155
Studded Club;3;-0.15038499;-0.008813779
Sulphurous Demonbone;5;-0.054681532;-0.02607474
Swampling Club;3;-0.17502686;-0.07402115
Taurus Mace;3;-0.26435238;-0.2643028
The Stomper;2;-0.14227095;0.3259218
Thunder Hammer;5;0.019445835;0.18810737
Umbral Hammer;0;-0.14553529;0.4069568
Umbral Mace;2;-0.17114933;0.3646371
Umbral Master Hammer;2;-0.22329302;0.49007496
Umbral Master Mace;2;-0.24464375;0.44952822
Unliving Demonbone;5;-0.12749772;0.051010735
War Hammer;3;-0.45960015;-0.030980563
Amber Souvenir;5;0.037480123;0.116511025
Anniversary Cake;4;0.28586137;-0.06753514
Aubergine;5;0.26291162;0.23333926
Banana;3;-0.2868222;-0.12980156
Bar of Chocolate;4;0.04779779;-0.15820222
Bass;5;0.25263882;0.15059632
Beetroot;3;-0.09622633;-0.09861273
Birthday Cake;4;0.25862;-0.14261124
Birthday Layer Cake;4;0.29117942;-0.16246752
Blue Gingerbread Heart;4;0.3416641;-0.14261343
Blueberry;4;0.106807746;-0.09038064
Bottle of Champagne;5;0.24920209;0.21540286
Bottle of Glooth Wine;4;0.27347;0.14427258
Bottle of Tibian Wine;4;0.32286623;0.13992417
Bowl of Glooth Soup;4;0.12764807;-0.25412422
Bread;3;-0.25265282;-0.1190676
Broccoli;4;0.29237458;0.106074594
Brown Bread;0;-0.034650117;-0.01389931
Brown Mushroom;3;-0.43097275;-0.06508002
Bug Meat;3;-0.27898243;-0.039083343
Bulb of Garlic;4;0.050276257;-0.23404588
Cake;4;0.26408556;-0.10238414
Candy;4;0.21850269;-0.28142294
Candy Cane;4;0.18281706;-0.18402712
Candy Floss (25 Anos);4;0.3573605;-0.24512084
Candy Floss (Orcsoberfest);4;0.24296235;-0.31116766
Carrot;3;-0.23413375;-0.30264357
Cauliflower;4;0.26862133;-0.04768976
Cave Turnip;3;-0.093378216;-0.030764667
Cheese;3;-0.19378717;-0.17706975
Cheese Cookie;5;0.2825651;-0.13402611
Cherry;4;0.13213138;-0.39895248
Chocolate Cake;4;0.21030477;-0.20641589
Christmas Cookie Tray;4;0.42910016;-0.24482922
Coconut;4;0.27426985;-0.08314702
Coloured Egg (Blue);4;0.30737695;-0.19074878
Coloured Egg (Green);4;0.29096016;-0.15657143
Coloured Egg (Purple);4;0.27899116;-0.2693021
Coloured Egg (Red);4;0.27026066;-0.17333892
Coloured Egg (Yellow);4;0.29894078;-0.18198004
Cookie;3;-0.29546404;-0.3959493
Corncob;3;-0.33590424;-0.09055547
Cream Cake;4;0.13133308;-0.38779044
Crocodile Steak;5;0.15026829;0.03907254
Cucumber;4;0.3468956;-0.017619254
Dark Mushroom;3;-0.294139;-0.22168721
Decorated Cake;4;0.28219733;-0.25434577
Deepling Filet;3;-0.31955072;0.123515956
Dewberries;4;0.3269602;-0.17035973
Dragon Ham;3;-0.28652528;-0.25966606
Dragonfruit;3;-0.043219846;-0.26592007
Ectoplasmic Sushi;5;0.1573584;-0.1591936
Egg;3;-0.04679659;-0.22481318
Energy Bar;3;-0.30704102;-0.124486215
Energy Drink;3;-0.1750768;-0.13229983
Filled Milk Churn;4;0.39234218;-0.050151277
Fire Mushroom;3;-0.3466008;-0.1809063
Fish;3;-0.35879183;-0.1581299
Forbidden Fruit;3;-0.06537848;-0.006739563
Fresh Fruit;4;0.038590286;-0.22703141
Gingerbreadman;4;0.34355253;-0.16580059
Glooth Sandwich;3;-0.046523355;-0.13286766
Glooth Steak;3;-0.14442246;0.20633604
Grapes;3;-0.37609094;-0.04053358
Green Gingerbread Heart;4;0.29872474;-0.13299131
Green Mushroom;3;-0.33775517;-0.32573822
Green Perch;3;-0.022682538;-0.1862162
Gummy Rotworm;4;0.04340038;-0.48507416
Ham;3;-0.433004;-0.2878158
Haunch of Boar;5;-0.07138776;0.20577043
Ice Cream Cone (Blue-Barian);3;-0.015186172;-0.32570124
Ice Cream Cone (Chilly Cherry);4;0.33923766;-0.22319259
Ice Cream Cone (Crispy Chocolate Chips);4;0.3691449;-0.2347063
Ice Cream Cone (Mellow Melon);4;0.3587385;-0.25681528
Ice Cream Cone (Sprinkles);4;0.39009988;-0.17474528
Ice Cream Cone (Sweet Strawberry);4;0.35079828;-0.25432372
Ice Cream Cone (Velvet Vanilla);4;0.33022594;-0.20011799
Insectoid Egg (Food);3;-0.031885896;-0.3888109
Jalapeño Pepper;3;-0.11376957;0.03375536
Larvae;3;-0.041052595;-0.34403867
Leberkassemmel;5;0.22149093;0.16590391
Lemon;4;0.25965196;-0.061839115
Mango;4;0.17971675;-0.2588369
Marlin;5;0.07478837;-0.10402613
Meat;3;-0.34026393;-0.22151832
Melon;4;0.014026331;-0.15047611
Meringue Cake;4;0.27149782;-0.12045037
Moon Melon;4;0.30204675;-0.17939492
Moon-Touched Dewberries;4;0.3311325;-0.26946577
Mushroom Pie;3;-0.04102605;-0.20674221
Northern Pike;3;-0.12363955;-0.19149904
Onion;5;0.088427514;0.04132266
Orange;5;0.013741314;0.063862935
Orange Mushroom;3;-0.1792287;-0.3461197
Party Cake;4;0.2611269;-0.16701874
Peanut;5;0.053023964;-0.3208886
Pear;5;0.053291913;-0.122596964
Peas;5;0.27028006;0.053503703
Pineapple;4;0.24764472;-0.03484633
Plum;5;-0.09072147;0.036562607
Potato;3;-0.11528219;-0.029216012
Prickly Pear;3;-0.14188059;-0.20009862
Pumpkin;4;0.11892978;-0.15996698
Rainbow Trout;3;-0.019951187;-0.23150457
Raspberry;3;-0.15325841;-0.02158018
Rat Cheese;5;0.057135303;-0.05434111
Red Apple;3;-0.123517744;-0.15859541
Red Gingerbread Heart;4;0.2712857;-0.13556853
Red Mushroom;3;-0.3061598;-0.17555007
Rice Ball;4;0.30768234;0.008855484
Roasted Meat;5;0.21057639;0.20675586
Roll;3;-0.14563848;-0.08733969
Salmon;5;0.13365349;0.059128627
Sandfish;5;0.15904656;0.0029290512
Shell;5;0.19936973;0.16652262
Shrimp;3;-0.10863517;-0.15632425
Small Bass;5;0.29769439;0.12916549
Soft Cheese;5;0.14818908;0.050717294
Some Mushrooms;4;0.075244546;-0.11745402
Some Mushrooms (Brown);4;0.06960265;-0.14332512
Stockfish;5;0.14911938;0.022242164
Strawberry;4;0.07512889;-0.4251414
Sun Fruit;1;0.10747819;-0.11221821
Taiyaki;5;0.1718853;0.18429945
Terramite Eggs;5;0.07129925;-0.15397695
The Carrot of Doom;3;-0.07056173;0.00517982
Tiny Bass;5;0.27248466;0.080504976
Tomato;5;0.02642123;0.06962844
Tortoise Egg;3;-0.10065234;-0.18097696
Valentine's Cake;4;0.23183767;-0.17380601
Veal;5;0.14213553;0.13241428
Walnut;3;-0.097985916;-0.17582992
White Mushroom;3;-0.42710882;-0.16467538
Winterberry Liquor;4;0.3519573;-0.11494513
Wood Mushroom;3;-0.23943758;-0.33350447
Yummy Gummy Worm;4;0.09596334;-0.41003358
Blood Crystal;5;0.21840361;-0.0006460084
Crystal Ball;3;-0.11140173;-0.107680105
Crystal Lamp;1;0.29437003;-0.13531132
Crystal of Balance;1;0.21860175;-0.02263928
Crystal of Focus;1;-0.04985671;-0.20251872
Crystal of Power;3;-0.24890421;-0.029404763
Deep Crystal;1;0.11398129;-0.011943773
Elemental Crystal;1;0.19240275;-0.054321997
Flawless Ice Crystal;1;0.3222172;-0.09023875
Food Matrix Crystal;4;0.26090226;-0.09985969
Frost Charm;4;0.22379893;-0.11260112
Gnomish Extraction Crystal;5;0.1976295;-0.08199377
Gnomish Repair Crystal;5;0.2228306;-0.054099113
Heavy Crystal Fragment;2;-0.0900977;0.12850413
Imbuing Crystal;1;0.3812259;-0.06722207
Life Crystal;3;-0.3217972;-0.27827013
Lonely Crystal;4;0.23688008;-0.092534326
Magic Crystal;1;0.07187094;-0.123400204
Memory Crystal;5;0.27658817;-0.03932041
Midnight Shard;3;-0.18789959;-0.08885281
Purified Soul (Quest);3;-0.17297317;-0.14984386
Rare Crystal;1;0.20932761;-0.11046542
Red Teleport Crystal;1;0.2901322;0.06120422
Resonance Crystal;1;0.27815947;-0.0031876436
Rough Red Gem;1;0.17104389;0.0022455864
Spectral Stone;1;0.16213882;-0.064184435
Teleport Crystal;5;0.2789318;0.08649022
Weapon Matrix Crystal;2;0.0072953575;0.18405665
Abacus;5;0.17800365;0.19341984
Abacus (Réplica);5;0.22003749;-0.064744495
Adamant Shield;0;-0.005337265;0.35046014
Angel Figurine;3;-0.22222346;-0.48336408
Ankh;3;-0.3134819;-0.09017586
Another Yellow Present;4;0.38394192;0.0461211
Armageddon Plans;5;0.17979608;0.1479478
Armillary Sphere;5;0.26638252;0.004812974
Artist's Easel;4;0.1689623;-0.10222567
Assassin Doll (Réplica);5;0.048743937;-0.43649864
Aurora's Collection;1;0.12320807;-0.028211074
Aurora's Collection (Réplica);4;0.1669231;-0.16858864
Aylie (Réplica);5;0.16161272;-0.10944756
Baby Munster;5;0.33419305;-0.04073394
Badger Fur (Decoração);5;0.029174207;-0.16701809
Bag of Oriental Spices;4;0.34404492;-0.22757013
Bag of Oriental Spices (Réplica);4;0.34690621;-0.33438915
Balloon Box;4;0.40282613;-0.18079059
Balloon Cloth;4;0.39789307;-0.23589663
Balloon no.0;4;0.31775695;-0.14070947
Balloon no.1;4;0.28725535;-0.16229513
Balloon no.2;4;0.2968733;-0.17402282
Balloon no.3;4;0.27909088;-0.14485703
Balloon no.4;4;0.29163605;-0.15774666
Balloon no.5;4;0.28981167;-0.16833822
Balloon no.6;4;0.29635277;-0.15679191
Balloon no.7;4;0.2899394;-0.14289029
Balloon no.8;4;0.277909;-0.15434399
Balloon no.9;4;0.27852535;-0.14659707
Banor Doll (Réplica);5;0.18430808;-0.36240143
Bard Doll (Réplica);5;0.08839996;-0.40069422
Basket (Dog);4;0.29739603;0.023965742
Bat Decoration;4;0.3022136;-0.045835108
Beautiful Marble Statue;0;0.15920414;-0.08984116
Beaver of Wisdom;5;0.066983156;0.02231132
Bejeweled Ship's Telescope;5;0.22986276;0.19575824
Big Reward Box;4;0.29013067;0.05493581
Birthday Cup;4;0.39582893;-0.041961335
Black Jade Cobra;1;0.272985;0.0039420575
Black Knight Doll;5;0.042801376;-0.26869425
Black Raven Kit;0;0.04676248;0.0070602437
Black Skull (Item);1;0.015659073;-0.15490793
Blood Goblet;3;-0.27958247;-0.10045409
Blood Orb;5;0.15527575;0.098868676
Blood Skull;5;0.042497683;-0.028354174
Blue 25 Years Balloon;4;0.36376822;-0.2128334
Blue and Red Presents;4;0.45076916;-0.06791616
Blue Balloon;4;0.3742813;-0.18632667
Blue Bed Kit;4;0.4492044;-0.09778332
Blue Christmas Bundle;4;0.45655358;-0.13470545
Blue Christmas Garland;4;0.3970233;-0.09999316
Blue Pillow;4;0.37804234;-0.1581638
Blue Present;4;0.45271683;0.037300505
Blue Sphere;5;0.23519571;-0.06781015
Blue Tapestry;4;0.28415743;-0.062743746
Blue Wallpaper;4;0.38038504;-0.07694251
Bolfrim's Golden Bug Trophy;0;0.08698821;-0.05004185
Bonelord Balloon;4;0.33503595;-0.17263077
Bonelord Tome;1;0.41691974;0.0472637
Bookworm Doll (Réplica);3;0.04701667;-0.5382482
Box Full of Balloons;4;0.37760592;-0.1344326
Box Full of Decoration;4;0.3782984;-0.15485053
Box Full of Presents;4;0.39193046;-0.15309027
Brachiodemon Trophy;0;0.059470482;0.13101822
Bronze Goblet;0;0.16272487;0.23143053
Bronze Hunter Trophy;0;0.11213911;0.25359768
Burnt Out Devourer Core;1;0.270649;0.014872728
Cake Tapestry;4;0.27442732;-0.18983363
Candy Cushion;4;0.31430686;-0.29233223
Canopy Bed Kit;4;0.39515796;-0.09921294
Carpet Box;4;0.33041438;-0.14085063
Cask (With Goblin Zombie);3;-0.13361226;-0.13397142
Chaos Critical Dice;5;0.15257524;0.033171207
Chaos Critical Dice (Réplica);5;0.20947534;-0.029635789
Chocolate Fountain;4;0.3283665;-0.20332612
Christmas Branch;1;0.28656402;-0.051176142
Christmas Garland;4;0.345521;-0.045403473
Christmas Tree;4;0.265009;-0.094275855
Christmas Wreath;4;0.31662536;-0.0963782
Citizen Doll (Réplica);4;0.19411214;-0.42095712
Clay Lump;3;-0.12962288;-0.19965588
Clay Statue;0;0.09206358;-0.12979145
Colourful Balloons;4;0.33531883;-0.26773873
Comb;5;0.2678414;-0.002568451
Council Certificate;0;0.39222404;0.18272576
Countess Sorrow's Frozen Tear;3;-0.0062522246;-0.10879165
Crimson Doll;5;0.07218447;-0.4473871
Crunor's Heart;5;0.09825631;0.1329285
Crystal Pedestal;0;0.11179668;0.06434217
Cuckoo Clock;5;0.21194355;-0.02942783
Cyclops Balloon;4;0.28509167;-0.18148984
Cyclops Head Balloon;4;0.25102174;-0.17000327
Dark Oracle;1;0.20568459;-0.0087172575
Dark Wizard's Crown;1;0.023056159;-0.08589212
Decoration Kit;4;0.3506607;-0.13381375
Delany's Golden Bug Trophy;0;0.14592396;-0.04220573
Demonic Tapestry;3;-0.22557107;-0.20021719
Devourer Core;1;0.18474005;-0.0215484
Djinn's Lamp;5;0.13182649;-0.011467506
Doll of Durin The Almighty;3;-0.0020377622;-0.27394006
Dracoyle Statue;1;-0.010564669;-0.24779487
Dragon Eye;3;-0.101124;-0.26078436
Dragon Eye (Réplica);3;-0.09385054;-0.303092
Dragon Goblet;3;-0.18163449;-0.22850493
Dragon Goblet (Réplica);3;-0.06968414;-0.35844043
Dragon Pinata;3;-0.088693045;-0.14532316
Dragon Tapestry;3;-0.007268897;-0.24484539
Draken Doll (Réplica);3;-0.10031093;-0.44338432
Draptor Doll;5;0.14177966;-0.2895445
Dread Doll (Réplica);5;0.061072536;-0.42469558
Duality Doll;5;0.08571709;-0.34719568
Dwarf Balloon;4;0.15779181;-0.17613557
Eloise Balloon;4;0.25916037;-0.13062413
Elven Brooch;5;0.10046831;0.1284687
Elven Vase;4;0.3095855;0.02067177
Emblem (Réplica);5;0.20874448;0.14946128
Embroidered Box;4;0.3032276;-0.06864408
Empty Goldfish Bowl;5;0.10371746;-0.028893284
Encyclopedia;5;0.092726216;0.058508553
Enigmatic Voodoo Skull;3;-0.2327709;-0.29671887
Evora;1;0.41010463;0.04893161
Eye Of The Storm;1;0.23898448;-0.04212179
Eye Pod;4;0.030481955;-0.12353371
Falcon Pet;5;0.030860957;-0.07101944
Firlefanz;4;0.2650863;0.08121558
Folded Artefact Carpet I;4;0.2823772;-0.16665566
Folded Artefact Carpet II;4;0.26450527;-0.17320171
Folded Artefact Carpet III;4;0.25548023;-0.17950132
Folded Artefact Carpet IV;4;0.28644702;-0.16140486
Folded Artefact Carpet V;4;0.26059917;-0.13710727
Folded Artefact Carpet VI;4;0.27540374;-0.15610482
Folded Artefact Carpet VII;4;0.2516737;-0.16782525
Folded Blue Cake Carpet;4;0.36616737;-0.24835475
Folded Blue Tibia Carpet;4;0.3541697;-0.16947682
Folded Dragon Carpet;4;0.08526797;-0.31333727
Folded Dragon Lord Carpet;4;0.0030898224;-0.27447295
Folded Eldritch Carpet;4;0.35725495;-0.14050145
Folded Elemental Carpet;4;0.3288685;-0.10762553
Folded Ghazbaran Carpet;4;0.26037553;-0.16622685
Folded Green Cake Carpet;4;0.34274086;-0.22261913
Folded Green Tibia Carpet;4;0.32253516;-0.14642604
Folded Morgaroth Carpet;4;0.32863808;-0.14664511
Folded Orange Cake Carpet;4;0.32082778;-0.23897636
Folded Orange Tibia Carpet;4;0.37527934;-0.17293498
Folded Orshabaal Carpet;4;0.32067665;-0.1350015
Folded Pink Cake Carpet;4;0.34478095;-0.36462268
Folded Pink Tibia Carpet;4;0.3426734;-0.31440568
Folded Purple Cake Carpet;4;0.33564395;-0.3318412
Folded Purple Tibia Carpet;4;0.33426312;-0.2580193
Folded Red Cake Carpet;4;0.32943395;-0.24115929
Folded Red Tibia Carpet;4;0.3120836;-0.16017458
Folded Rift Carpet;5;0.04853083;-0.0650975
Folded Sky Cake Carpet;4;0.3189566;-0.25198495
Folded Sky Tibia Carpet;4;0.31780577;-0.15046519
Folded Void Carpet;4;0.38846672;-0.10908131
Folded Yellow Cake Carpet;4;0.34758565;-0.25087675
Folded Yellow Tibia Carpet;4;0.3287559;-0.17441334
Framed Birthday Card;4;0.43410015;-0.00142254
Friendship Amulet;0;-0.03223893;-0.053664465
Friendship Amulet (Réplica);0;-0.099740006;-0.10384776
Frozen Heart;5;0.33937377;0.013359289
Frozen Heart (Réplica);5;0.31735474;-0.09454562
Frozen Starlight;1;0.28471458;-0.1322248
Furniture Kit;4;0.4487732;-0.15923023
Furniture Package;4;0.45793828;-0.20776369
Gilded Birthday Cup;4;0.36588335;-0.028481495
Glass of Goo;1;0.39206403;-0.14050964
Globe;5;0.2807365;0.088846885
Glowing Mushroom;1;0.17165829;-0.17233978
Gold Hunter Trophy;0;0.10132403;0.22548509
Golden Falcon;5;0.20701933;0.027832046
Golden Falcon (Réplica);5;0.06445888;-0.086172834
Golden Figurine;3;-0.064620845;-0.23363075
Golden Goblet;0;0.15799828;0.08606369
Golden Newspaper (Réplica);4;0.3867887;-0.012970131
Golden Wallpaper;4;0.3626371;-0.05591467
Goldfish Bowl;4;0.2812641;0.021551603
Goromaphone;5;0.25676006;0.012295888
Goromaphone (Réplica);5;0.24167173;-0.11148756
Gozzler Trophy;0;0.15979473;0.115815334
Green 25 Years Balloon;4;0.3389851;-0.16115706
Green and Blue Presents;4;0.45871893;-0.057667468
Green and Red Presents;4;0.4466527;-0.008056998
Green Balloon;4;0.34775394;-0.14824648
Green Bed Kit;4;0.4344669;-0.062475633
Green Christmas Bundle;4;0.4351297;-0.08354505
Green Light;1;0.38048965;-0.0010481757
Green Pillow;4;0.3449566;-0.11060548
Green Tapestry;4;0.30098435;-0.021183936
Green Wallpaper;4;0.350654;-0.044270437
Grey Raven Kit;0;0.09775486;-0.004142902
Gryphon Mask;5;0.11915204;-0.06183079
